Format Version,1.23,Take Name,experiment_005,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 01.49.57.954 ,Capture Start Frame,3442474,Total Frames in Take,11569,Total Exported Frames,11569,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
115,0.479000,0.632712,0.202540,0.037369,2.763598,1.977719,-2.855498,-5.062852,0.401750,89.720032,2.577125,1.740225,-0.638234
116,0.483000,0.620274,0.201445,0.037750,2.763596,1.977721,-2.855507,-5.050863,0.418780,89.699600,2.577206,1.740233,-0.638137
117,0.488000,0.604580,0.221027,0.035850,2.763605,1.977726,-2.855511,-5.003733,0.440589,89.653000,2.577262,1.740254,-0.638038
118,0.492000,0.596737,0.208158,0.033970,2.763600,1.977728,-2.855514,-5.025696,0.421137,89.628128,2.577321,1.740302,-0.637947
119,0.496000,0.609517,0.214978,0.040960,2.763606,1.977727,-2.855493,-5.032774,0.414368,89.610413,2.577387,1.740316,-0.637857
120,0.500000,0.617306,0.201428,0.037513,2.763602,1.977724,-2.855492,-5.005250,0.418049,89.569054,2.577432,1.740308,-0.637789
121,0.504000,0.627829,0.196756,0.027567,2.763598,1.977711,-2.855495,-5.017304,0.419388,89.539856,2.577462,1.740318,-0.637715
122,0.508000,0.634039,0.187572,0.025185,2.763608,1.977720,-2.855490,-5.020313,0.430446,89.535156,2.577497,1.740323,-0.637619
123,0.513000,0.645486,0.189003,0.037262,2.763604,1.977716,-2.855487,-5.028890,0.436082,89.507347,2.577545,1.740319,-0.637555
124,0.517000,0.639626,0.185129,0.037006,2.763600,1.977724,-2.855484,-5.068501,0.416755,89.497032,2.577599,1.740409,-0.637464
125,0.521000,0.637254,0.202064,0.046144,2.763602,1.977728,-2.855488,-5.089252,0.414693,89.475960,2.577631,1.740416,-0.637407
126,0.525000,0.634322,0.210867,0.051472,2.763607,1.977727,-2.855480,-5.090952,0.445738,89.473663,2.577666,1.740380,-0.637302
127,0.529000,0.640011,0.216064,0.039380,2.763613,1.977735,-2.855489,-5.085840,0.459162,89.461105,2.577685,1.740379,-0.637212
128,0.533000,0.638604,0.220068,0.045270,2.763601,1.977733,-2.855485,-5.105145,0.449939,89.446136,2.577713,1.740429,-0.637134
129,0.538000,0.637081,0.220219,0.051178,2.763608,1.977724,-2.855497,-5.121282,0.434152,89.429100,2.577728,1.740479,-0.637076
130,0.542000,0.648760,0.202596,0.043171,2.763609,1.977727,-2.855494,-5.127899,0.426605,89.407310,2.577739,1.740508,-0.637005
131,0.546000,0.610738,0.195143,0.036592,2.763600,1.977720,-2.855496,-5.135806,0.412351,89.400131,2.577763,1.740592,-0.636909
132,0.550000,0.618226,0.209755,0.038977,2.763606,1.977714,-2.855488,-5.112936,0.415421,89.392624,2.577758,1.740601,-0.636800
133,0.554000,0.607938,0.202850,0.037985,2.763600,1.977710,-2.855492,-5.097396,0.449767,89.368279,2.577773,1.740599,-0.636722
134,0.558000,0.623683,0.211236,0.043264,2.763603,1.977718,-2.855493,-5.067986,0.428476,89.358017,2.577782,1.740693,-0.636613
135,0.563000,0.630943,0.214403,0.045792,2.763600,1.977718,-2.855491,-5.044037,0.436140,89.332008,2.577801,1.740807,-0.636518
136,0.567000,0.615533,0.214317,0.042818,2.763598,1.977723,-2.855502,-5.039167,0.428426,89.328857,2.577799,1.740926,-0.636408
137,0.571000,0.651554,0.214086,0.054189,2.763606,1.977722,-2.855484,-5.065779,0.374623,89.321075,2.577784,1.741000,-0.636332
138,0.575000,0.598435,0.205545,0.040123,2.763606,1.977710,-2.855498,-5.069694,0.363199,89.333344,2.577778,1.741048,-0.636193
139,0.579000,0.636372,0.213362,0.047043,2.763599,1.977726,-2.855487,-5.019526,0.401155,89.289146,2.577776,1.741044,-0.636136
140,0.583000,0.643545,0.214126,0.044902,2.763613,1.977718,-2.855494,-5.008673,0.385853,89.280624,2.577725,1.741126,-0.636042
141,0.588000,0.625640,0.204152,0.043356,2.763604,1.977724,-2.855491,-5.017848,0.375638,89.279984,2.577732,1.741235,-0.635937
142,0.592000,0.612256,0.224727,0.043751,2.763601,1.977724,-2.855484,-5.025971,0.369049,89.292900,2.577738,1.741318,-0.635801
143,0.596000,0.628090,0.213984,0.037624,2.763597,1.977727,-2.855484,-5.043839,0.354312,89.279060,2.577729,1.741375,-0.635711
144,0.600000,0.643416,0.205275,0.042190,2.763602,1.977725,-2.855482,-5.048639,0.309875,89.276649,2.577700,1.741472,-0.635583
